currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision,provision_Contra Frente ,provision_Contrafrente ,provision_Frente ,provision_Interno ,provision_Lateral ,condition_ ,condition_A Refaccionar ,condition_Bueno ,condition_Excelente ,condition_Muy Bueno ,condition_Regular 
USD,69.700,$,32.0,Niceto Vega 5120,28,Monoambiente,10000,1,1,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,320.000,$,40.0,Avenida Dorrego al 1700,81,2,10000,2,3,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,540.000,$,35.0,Ugarteche 3100,149,3,10000,2,4,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,145.000,$,11.0,"Paraguay 3000, Piso 6",78,3,10000,2,4,0,Bueno ,Contrafrente ,0,1,0,0,0,0,0,1,0,0,0
USD,385.000,$,50.0,AV. SANTA FE al 3900,140,Monoambiente,10000,3,4,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,230.000,$,32.0,Av Niceto Vega 5700,67,2,10000,2,3,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,139.000,$,9.0,Scalabrini ortiz al 1700,52,2,10000,1,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,133.400,$,32.0,Niceto Vega 5120,48,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,280.000,$,15.0,"Av. Luis Maria Campos  100 4°  100, Piso 4",73,2,15,2,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,270.000,$,15.0,"Borges 2100, Piso 10",106,2,10000,2,3,1,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,189.000,$,22.0,Fitz Roy al 2300,65,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,292.000,$,32.0,avenida cordoba al 3600,105,2,10000,3,3,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,349.000,$,70.0,GUEMES al 4400,187,3,10000,4,4,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,95.000,$,10.0,DARREGUEYRA al 2000,50,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,70.000,$,10.0,"Angel  Justiniano Carranza 1100, Piso 2",30,Monoambiente,10000,1,1,0,Excelente ,Lateral ,0,0,0,0,1,0,0,0,1,0,0
Consultar,precio,$,32.0,ARMENIA 2200,162,3,10000,3,4,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,790.000,$,140.0,República Arabe Siria 2700,234,3,10000,2,4,1,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,185.000,$,45.516,GUEMES al 3800,88,2,10000,2,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,245.000,$,32.0,GORRITI 5800,119,2,10000,3,3,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,235.000,$,32.0,NICARAGUA 5800,90,3,10000,2,4,1, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,320.000,$,32.0,Malabia 1300,95,3,10000,2,4,0,Excelente ,,0,0,0,0,0,0,0,0,1,0,0
USD,150.000,$,32.0,"Medrano  1300, Piso 1",106,3,10000,2,4,0,Bueno ,Lateral ,0,0,0,0,1,0,0,1,0,0,0
USD,196.000,$,32.48,Avenida Dorrego 1800,59,1,10000,1,2,1, ,,0,0,0,0,0,1,0,0,0,0,0
