currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision
USD,60.000,$,5.700,Charcas al 5100,31,1,10000,1,2,0, ,Interno 
USD,299.000,$,21.000,"Av. Santa Fe 4400, Piso 14",105,3,10000,4,4,0,Muy Bueno ,Contra Frente 
USD,219.000,$,32.000,Av Niceto Vega 5700,66,2,10000,2,3,0, ,Contrafrente 
USD,550.000,$,32.000,"Republica  Árabe Siria 3100, Piso 1",167,3,10000,3,4,1, ,Frente 
USD,235.000,$,16.000,Av Scalabrini Ortiz al 2200,89,3,10000,2,4,1, ,Frente 
USD,151.551,$,32.000,Godoy Cruz 2875,50,1,10000,2,2,0, ,Frente 
USD,550.000,$,32.000,Cabello 3100,135,3,10000,3,4,1, ,
USD,185.000,$,18.000,BONPLAND al 2000,69,2,10000,2,3,1, ,
USD,109.000,$,12.300,GODOY CRUZ al 2500,48,2,10000,1,3,0, ,
USD,290.000,$,32.000,"Honduras 3800, Piso 1",191,4,10000,2,5,0,Muy Bueno ,Frente 
Consultar,precio,$,32.000,"Medrano  1300, Piso 1",106,3,10000,2,4,0,A Refaccionar ,Lateral 
USD,95.000,$,19.000,CONCEPCION ARENAL al 2300,0,2,10000,1,3,0, ,Contrafrente 
USD,110.000,$,32.000,"Malabia 2100, Piso 3","39,62",1,10000,1,2,0,Excelente ,Frente 
USD,120.000,$,9.671,ARMENIA al 2100,47,2,10000,1,3,0, ,Lateral 
USD,55.000,$,7.344,SINCLAIR al 3000,28,Monoambiente,10000,1,1,0, ,Interno 
USD,90.000,$,9.751,"Av. Scalabrini Ortiz 1400, Piso 3º",0,Monoambiente,10000,1,1,1,Muy Bueno ,Contra Frente 
USD,499.000,$,1,Jerónimo Salguero 2800,80,1,10000,1,2,1, ,
USD,258.200,$,32.000,Guatemala 5500,76,2,10000,2,3,0, ,Contrafrente 
USD,345.000,$,29.000,"Ortiz De Ocampo 2500, Piso 1",117,3,10000,2,4,0,Excelente ,Frente 
USD,295.000,$,24.000,Soler al 3700,104,3,10000,2,4,1, ,Frente 
USD,115.000,$,32.000,Lafinur 3300,35,Monoambiente,10000,1,1,0, ,
USD,109.900,$,1.000,Aráoz 2500,30,Monoambiente,10000,1,1,0, ,
USD,144.000,$,18.000,"Fray Justo Santa Maria De Oro 2200, Piso 9",42,1,10000,1,2,0,Excelente ,Frente 
USD,340.000,$,10.539,ARMENIA al 2300,151,6,10000,4,7,0, ,Frente 
USD,54.000,$,12.000,SANTAMARIA DE ORO al 2200,26,Monoambiente,10000,1,1,0, ,
USD,108.000,$,32.000,NICARAGUA al 5000,50,2,10000,1,3,0, ,
USD,58.000,$,32.000,"Bonpland 1500, Piso pb",0,1,10000,1,2,0,A Refaccionar ,Lateral 
USD,105.000,$,12.500,Uriarte 1200,48,1,10000,1,2,0, ,
USD,149.000,$,19.780,AV. CORONEL DIAZ al 2300,54,2,10000,1,3,0, ,
USD,118.000,$,12.000,MARIO BRAVO al 1100,52,2,10000,1,3,0, ,
USD,110.000,$,19.000,GASCON al 1500,46,2,10000,1,3,0, ,
USD,60.000,$,12.636,CERVIÑO al 3900,31,1,10000,1,2,0, ,
USD,69.900,$,3.000,AV. CORDOBA al 5300,36,1,10000,1,2,0, ,
USD,238.000,$,44.000,REPUBLICA DE LA INDIA  al 3000,102,3,10000,2,5,1, ,
USD,119.900,$,32.000,Arce 700,43,1,10000,1,2,1, ,
Consultar,precio,$,32.000,JORGE NEWBERY 1600,59,1,10000,2,2,0,Excelente ,Frente 
USD,1.100.000,$,82.000,Gelly 3500,228,5,10000,5,6,3, ,
USD,920.000,$,50.000,Av. Libertador al 3700 entre Sinclair y Godoy Cruz,217,4,30,4,6,2, ,Frente 
USD,970.000,$,140.000,Cavia 3099,265,4,10000,3,5,2, ,
USD,380.000,$,13.000,Uriarte al 1300  PISO 3 D,87,2,10,1,3,1, ,Frente 
USD,330.000,$,46.000,"Juan Francisco Segui 3500, Piso 7",107,3,10000,2,4,1,Excelente ,Frente 
USD,84.000,$,11.000,"Cabrera 3900, Piso 5",32,Monoambiente,10000,1,1,0,Excelente ,
USD,145.000,$,26.000,SANTAMARIA DE ORO al 2500,87,3,10000,2,4,0, ,Frente 
USD,99.000,$,12.275,THAMES al 2000,45,1,10000,1,2,0, ,Contrafrente 
USD,254.900,$,49.000,Paraguay 4300,70,2,10000,2,3,1, ,
USD,219.000,$,16.000,Avenida Santa Fe 4400,90,3,10000,2,4,0, ,
USD,583.000,$,65.000,Salguero al 3000,118,3,10000,3,4,1, ,
USD,129.500,$,10.323,NICARAGUA al 4300,52,2,10000,1,3,0, ,Frente 
USD,198.000,$,45.000,Paraguay 3500,94,3,10000,3,5,1,A Refaccionar ,Frente 
USD,230.000,$,16.000,"Soler  6000 1°  6000, Piso 1",70,2,10000,2,3,0,Excelente ,Frente 
USD,230.400,$,32.000,Soler al 5500,58,1,10000,1,2,0, ,Frente 
USD,128.000,$,32.000,Av Niceto Vega 5700,37,1,10000,1,2,0, ,
USD,98.000,$,9.000,Scalabrini Ortiz al 1400,32,Monoambiente,10000,1,1,0, ,Contrafrente 
USD,86.000,$,32.000,"Guatemala 4300, Piso 2",28,Monoambiente,10000,1,1,0,Excelente ,Contra Frente 
USD,67.900,$,7.500,Godoy Cruz al 2900,40,1,10000,1,2,0, ,Contrafrente 
USD,75.000,$,32.000,"Av Las Heras 3400, Piso 9",40,1,10000,1,2,0, ,
USD,340.000,$,32.000,el salvador  al 4500,68,2,10000,2,3,1, ,
USD,85.000,$,32.000,Avenida Cordoba 4100,46,Monoambiente,10000,1,1,0, ,
USD,125.000,$,32.000,Charcas 5200,56,2,10000,1,3,0, ,
USD,99.000,$,32.000,BULNES al 1200,46,1,10000,1,2,0, ,
USD,99.000,$,32.000,BULNES al 1200,44,Monoambiente,10000,1,1,0, ,
USD,249.900,$,30.500,Ortiz de Ocampo 2500,117,3,10000,3,4,0, ,
USD,342.000,$,32.000,"Av. Santa Fe 2600  PB , Piso PB",128,3,50,2,4,0,Bueno ,Contrafrente 
USD,490.000,$,80.000,REPÚBLICA DE LA INDIA 3000,193,4,10000,2,5,1,Muy Bueno ,Frente 
USD,365.000,$,40.000,Avda. Cabildo (y Newbery) 300,192,3,10000,2,7,1, ,Frente 
USD,64.000,$,21.826,CABELLO al 3300,38,1,10000,1,2,0, ,
USD,198.000,$,32.000,GORRITI al 6000,80,4,10000,2,5,0, ,
USD,120.000,$,4.100,GORRITI al 4800,55,2,10000,1,3,0, ,
USD,196.000,$,19.500,PALERMO_AV L M CAMPOS 1000_VTA DEPTO 4 AMB-RECICLADO_81M2,75,3,10000,1,4,0, ,Frente 
USD,399.000,$,32.000,Coronel Niceto Vega 5600,142,5,10000,4,6,0,Excelente ,Contra Frente 
USD,219.000,$,32.000,"Av Gral Luis Maria Campos 1300, Piso 5",78,2,10000,3,3,0,Excelente ,Contrafrente 
USD,126.000,$,3.700,"Cabrera  3300 6°  3300, Piso 6",1,2,45,1,3,0,Muy Bueno ,Contrafrente 
USD,350.000,$,33.800,"Dorrego 2400, Piso 2",89,3,10000,2,4,1,Excelente ,Contra Frente 
USD,170.000,$,8.500,Godoy Cruz 2800,58,1,10000,2,2,0, ,
USD,127.000,$,13.468,MEDRANO al 1600,52,2,10000,1,3,0, ,Contrafrente 
USD,104.000,$,9.555,JERONIMO SALGUERO al 1500,43,1,10000,1,2,0, ,Frente 
USD,119.500,$,20.000,PARAGUAY al 4500,60,2,10000,1,3,0, ,Frente 
USD,190.000,$,11.800,Paraguay al 4400,47,1,7,1,2,1, ,Frente 
USD,136.000,$,11.600,PARAGUAY al 3300,53,2,10000,1,3,0, ,Contrafrente 
USD,205.000,$,17.000,"Scalabrini Ortiz  2800 1°  2800, Piso 1",94,3,40,2,4,0,Excelente ,Contrafrente 
USD,105.000,$,6.000,"Angel Carranza  2000 1°  2000, Piso 1",36,Monoambiente,10,1,1,0,Excelente ,Contrafrente 
USD,69.000,$,15.000,Guatemala 4600,38,1,10000,1,2,0,Muy Bueno ,Contrafrente 
USD,380.000,$,20.000,"Juan Maria Gutierrez 3900, Piso 4",89,3,10000,3,4,1,Excelente ,Contra Frente 
USD,230.000,$,32.000,Av. Santa Fe al 4900,70,3,28,2,4,1, ,
USD,159.000,$,10.000,Uriarte 1300,76,2,10000,1,3,0,Bueno ,Contrafrente 
USD,140.000,$,9.000,Santos dumont al 2300,42,1,21,1,2,0, ,Contrafrente 
USD,149.000,$,14.000,BULNES al 1700,56,2,10000,1,3,0, ,Frente 
USD,255.000,$,44.700,Santa Fe al 5000,103,3,10000,2,5,1, ,
USD,399.000,$,45.800,"Juncal 4500, Piso 8",124,3,10000,2,4,1,Excelente ,Frente 
USD,106.900,$,31.000,Gurruchaga 2100,52,2,10000,1,3,0, ,
USD,92.000,$,32.000,Avenida Cordoba 4100,50,1,10000,1,2,0, ,
USD,85.000,$,8.400,"Armenia 1900, Piso 1",33,Monoambiente,10000,1,1,0,Excelente ,Lateral 
USD,67.300,$,32.000,Medrano 1200,27,1,10000,1,1,0,Bueno ,
USD,52.000,$,4.901,PARAGUAY al 3400,25,Monoambiente,10000,1,1,0, ,Contrafrente 
USD,95.000,$,7.974,GUEMES al 3300,38,Monoambiente,10000,1,1,0, ,Frente 
USD,89.000,$,10.000,"Guatemala 6000, Piso 1",35,Monoambiente,10000,1,1,0,Muy Bueno ,Frente 
USD,125.000,$,3.200,Fitz Roy y Soler 7º,42,Monoambiente,A,1,1,0, ,Contrafrente 
USD,130.000,$,7.500,Julian Alvarez  2400,35,1,10000,1,2,0, ,
USD,79.000,$,7.700,ARAOZ 1600,34,1,10000,1,2,0,Muy Bueno ,Lateral 
USD,348.000,$,72.543,Coronel Diaz 2200,130,3,10000,2,4,1,Muy Bueno ,Frente 
USD,170.000,$,26.000,"Jeronimo Salguero 2600, Piso 3",77,2,10000,2,3,0,Excelente ,Contra Frente 
USD,178.000,$,10.000,"Guatemala 4900, Piso 1",52,2,10000,1,3,1,Bueno ,Frente 
USD,110.000,$,11.800,"Scalabrini Ortiz  3000, Piso 4",31,Monoambiente,10000,1,1,0,Excelente ,Contra Frente 
USD,265.000,$,40.000,BULNES 1800,153,3,10000,1,4,0,Bueno ,Frente 
USD,189.900,$,50.500,"Avenida Santa Fé  3300, Piso 4",89,2,10000,2,3,1,Bueno ,Contrafrente 
USD,230.000,$,17.000,"Scalabrini Ortiz  2800 1°  2800, Piso 1",94,3,40,2,4,0,Bueno ,Contrafrente 
